Latitude,Temperature,Cloudiness,Wind Speed,Relative Humidity
50.68,49.48,12,14.72,92
24.75,79.54,75,5.82,78
46.12,63.88,92,8.68,100
43.94,50.09,0,2.24,61
-22.09,58.03,8,3.87,100
-25.24,77.0,0,6.93,9
23.42,63.07,0,2.64,83
63.01,41.29,64,2.75,93
-0.61,81.07,92,17.52,95
-38.72,49.57,68,15.39,89
53.74,47.32,0,2.86,71
-9.8,79.0,0,9.91,100
58.38,37.96,88,5.32,86
-20.41,71.6,20,11.41,73
-8.27,80.89,12,2.53,80
7.8,68.56,92,3.31,99
-8.15,79.72,68,13.94,100
55.74,41.0,75,5.82,60
-0.39,59.0,75,3.36,62
20.89,85.8,40,11.41,67
28.66,71.6,0,6.93,88
37.73,73.4,20,12.75,83
53.94,59.0,75,12.75,82
0.57,79.36,76,3.42,81
61.92,42.82,0,5.66,100
62.23,46.4,92,8.05,93
-13.71,64.4,90,13.87,77
-14.74,76.84,0,5.66,54
-1.57,77.11,44,9.24,100
50.56,43.63,76,3.53,100
18.62,73.96,8,2.19,85
-15.19,65.77,0,6.44,99
51.67,49.84,0,3.53,54
39.0,70.95,1,3.36,100
49.08,53.17,0,4.76,78
16.86,84.2,40,5.82,70
20.79,70.36,0,4.54,97
-17.73,76.84,76,15.28,100
-17.4,65.77,0,5.1,60
14.9,78.82,80,11.25,96
-32.25,43.27,0,2.64,58
22.82,76.39,44,4.88,100
31.21,77.02,92,14.05,94
62.91,47.01,92,16.11,81
60.4,49.21,92,10.29,76
22.89,83.95,0,7.0,100
-36.8,57.2,20,4.7,67
42.01,55.98,1,4.7,75
-0.91,79.18,32,8.79,78
52.68,59.0,90,3.36,93
62.0,43.09,8,4.88,82
33.35,30.94,0,2.19,78
-34.0,54.61,12,4.21,92
-17.12,80.6,20,6.93,69
26.9,77.47,20,4.54,87
4.14,77.74,0,5.1,100
13.32,72.88,0,2.75,65
-45.41,45.79,68,3.65,82
14.35,78.64,8,4.32,65
-8.45,76.57,0,3.65,91
41.42,58.21,44,2.75,89
57.76,50.0,0,6.71,87
60.65,48.22,0,8.12,54
54.87,48.13,0,9.8,80
28.17,65.41,100,1.74,97
63.59,53.6,75,10.29,40
34.92,69.8,0,8.05,77
65.28,33.8,90,6.93,74
34.16,2.95,12,1.86,73
-32.49,60.8,90,12.75,67
45.0,35.71,0,2.75,87
-4.56,82.24,0,11.59,59
27.97,79.81,0,11.7,52
25.02,79.18,12,8.12,98
64.73,50.0,90,22.37,87
47.8,48.2,0,8.95,66
11.29,69.64,44,2.42,93
-2.57,86.29,0,10.69,96
36.3,79.45,1,8.23,83
36.42,57.31,1,9.46,72
5.43,77.0,75,2.86,94
62.78,44.6,90,13.87,93
-0.46,74.23,100,15.73,82
70.62,35.8,92,14.27,92
43.27,68.0,0,4.7,72
33.63,73.4,20,9.17,46
-34.55,57.76,0,3.65,83
-41.47,53.6,90,13.87,71
33.86,65.32,0,4.54,88
-11.38,76.48,32,15.95,100
44.83,62.42,0,9.17,63
-2.42,78.19,0,2.19,81
52.23,54.7,0,8.23,83
43.63,50.0,90,2.75,87
31.8,75.2,40,3.36,73
30.59,68.0,0,8.95,77
-3.66,84.85,12,13.71,94
77.48,19.15,36,8.01,100
43.32,57.2,75,4.7,82
-33.25,67.3,92,15.05,71
7.37,73.24,36,6.44,97
18.44,82.94,40,10.29,77
18.78,75.2,90,1.12,100
-39.94,51.28,92,3.76,73
26.35,83.86,75,27.51,79
14.28,76.84,68,3.76,99
-16.48,78.37,36,12.82,100
-28.74,53.6,0,3.36,20
65.95,33.91,88,5.44,93
-3.31,80.17,88,11.48,100
45.05,40.84,8,6.44,100
8.05,74.05,92,4.21,99
70.03,41.74,56,20.54,100
14.76,68.0,75,13.87,68
61.6,50.0,92,11.41,76
12.25,77.0,20,3.36,94
-3.36,65.59,48,2.64,83
32.3,77.0,75,11.41,69
41.51,51.8,0,8.05,43
49.93,47.95,0,15.05,66
-51.62,41.0,0,18.34,75
45.76,47.48,0,1.12,81
53.88,47.59,0,9.69,75
-28.55,56.14,0,8.57,98
-25.75,65.68,44,3.76,97
-5.11,73.87,12,7.11,41
-0.72,77.0,40,6.93,94
27.38,42.64,20,1.52,67
-20.58,69.19,68,4.99,100
35.77,67.3,90,5.82,54
19.61,80.6,0,2.24,88
70.07,41.0,76,12.75,93
-38.55,47.41,88,11.7,83
47.14,51.73,0,3.09,68
26.93,73.42,0,5.77,60
48.19,49.84,0,3.31,64
-6.22,79.99,12,12.71,99
18.74,74.77,0,4.88,21
57.58,41.11,92,31.16,97
66.32,42.01,92,4.88,96
-21.68,64.24,0,2.64,84
-33.73,57.2,75,10.29,71
24.34,84.2,75,17.22,83
-22.0,54.07,0,2.3,94
-7.95,71.26,64,3.76,92
36.66,64.4,75,3.36,88
-6.02,64.78,12,2.3,93
-35.17,58.66,68,11.03,78
13.13,81.7,80,10.8,87
61.68,39.49,68,6.33,92
-7.47,77.0,40,8.05,78
31.1,68.83,0,3.2,90
-19.28,67.3,0,10.92,41
44.36,64.58,1,8.05,39
59.1,48.85,0,19.86,69
-23.83,57.85,0,2.64,82
47.24,52.9,0,4.65,84
53.05,57.2,0,20.13,35
33.0,71.46,20,11.41,64
59.7,48.2,8,1.41,66
42.78,62.11,1,8.05,6
24.19,62.89,92,3.2,96
14.95,78.19,8,8.79,97
68.05,39.04,92,13.15,98
35.74,61.07,90,11.41,87
-45.87,44.6,0,11.41,65
0.49,63.79,8,3.42,87
63.9,41.02,64,2.19,84
38.3,69.8,32,9.01,94
-21.17,47.95,76,2.19,97
20.93,82.4,0,4.7,51
41.76,55.87,8,2.64,88
-0.5,81.16,8,2.86,78
-10.95,70.81,0,8.68,78
18.22,81.97,20,9.17,70
31.5,67.89,75,18.34,88
-9.67,71.6,20,4.7,94
52.99,51.1,88,6.33,68
59.36,52.57,88,16.11,71
14.69,78.8,0,2.24,94
-13.65,50.29,80,1.74,48
-40.81,44.89,64,9.69,65
-2.02,84.4,8,5.1,99
19.1,79.45,92,5.21,92
-15.23,76.3,12,5.99,85
39.15,96.98,1,5.82,1
32.02,75.2,40,3.36,73
10.93,78.37,0,5.66,100
61.28,44.44,92,3.65,98
10.99,82.4,75,6.93,88
55.79,47.86,20,5.66,87
-20.21,71.6,20,11.41,73
64.47,42.8,90,15.66,100
-2.76,79.99,8,15.5,78
36.72,70.0,64,33.06,100
44.77,75.38,1,5.82,3
7.14,60.64,24,6.11,87
-35.66,56.32,64,18.97,66
37.14,77.0,0,17.22,73
31.35,64.69,8,2.75,89
-8.71,80.6,20,5.77,74
42.02,57.4,0,4.09,61
49.12,44.53,92,5.88,97
11.0,82.87,32,9.69,72
28.89,59.47,92,4.21,97
-17.88,73.4,0,9.17,88
38.08,60.8,75,10.29,100
43.41,65.14,1,18.34,60
48.04,48.49,0,3.98,72
-39.89,52.54,68,3.42,70
38.48,68.0,75,5.82,81
1.44,80.6,20,1.12,69
-8.13,76.12,8,9.8,89
69.7,44.35,76,13.27,92
65.58,43.81,44,11.03,93
68.82,32.0,68,10.29,100
63.83,46.4,75,23.04,81
-45.87,49.39,32,10.25,71
36.58,64.4,75,3.36,88
61.99,50.0,92,11.41,76
51.59,52.38,0,3.36,100
-10.75,61.45,24,8.46,99
42.62,70.74,1,11.41,4
53.36,46.4,90,14.99,81
63.46,41.74,92,10.47,88
27.87,82.4,20,25.28,37
53.14,57.2,12,8.05,93
60.8,47.3,40,19.46,65
63.45,43.27,80,2.3,83
-20.01,71.6,20,11.41,73
35.24,68.0,20,10.29,64
52.04,44.6,0,2.24,100
-29.95,55.4,75,8.05,87
40.42,74.59,20,18.3,100
60.82,37.4,75,6.93,64
58.98,48.42,92,2.24,100
58.01,35.8,92,2.98,100
30.07,77.67,1,4.21,88
67.46,33.19,88,3.2,84
20.01,80.6,0,2.24,88
47.83,37.4,0,2.24,86
-37.83,59.02,24,4.32,88
22.74,68.74,100,7.45,98
-29.41,68.11,88,6.55,82
51.09,50.0,90,6.93,71
26.53,85.84,0,7.78,46
18.39,66.2,0,7.23,26
50.52,52.9,0,17.29,57
-38.6,61.72,0,6.33,59
-16.82,71.17,0,9.57,41
-16.1,70.36,12,8.34,35
40.04,61.0,1,3.76,68
45.45,51.89,0,2.24,93
-15.62,78.64,0,9.24,41
52.42,48.85,0,3.87,71
37.17,62.17,0,7.9,48
-11.1,61.99,0,4.76,85
-1.24,86.0,40,5.82,74
48.95,47.39,0,6.93,81
10.52,69.46,20,3.2,94
21.28,79.81,48,3.2,87
39.93,53.17,0,3.65,100
43.89,50.31,1,9.17,75
-21.64,75.2,0,23.04,78
-23.68,69.8,40,3.36,83
7.35,70.36,88,2.98,98
43.65,58.41,1,12.75,59
-4.54,72.61,12,2.98,89
8.0,70.99,76,3.87,100
-35.36,57.31,0,7.23,100
21.46,80.6,75,4.7,94
48.75,36.16,24,8.23,79
-8.77,70.81,76,1.19,88
3.17,79.27,0,5.1,69
28.58,77.0,0,3.87,94
-8.19,62.89,20,1.86,81
-18.17,66.2,40,1.52,93
8.2,79.99,12,5.21,95
21.03,75.76,0,2.64,94
12.22,77.56,0,5.21,83
19.09,70.18,76,3.98,99
50.36,36.79,92,4.43,99
50.23,55.4,90,5.82,100
66.77,41.11,92,2.98,100
37.72,73.4,20,12.75,83
-31.25,73.42,88,8.01,70
44.39,44.71,48,2.19,93
70.47,24.8,90,4.7,79
16.38,72.79,92,1.41,86
-23.87,74.5,0,11.03,99
-5.67,80.26,56,15.28,99
9.53,70.63,92,1.86,100
18.42,73.24,24,2.86,99
-33.52,60.64,76,15.28,80
1.74,68.47,12,2.98,100
68.71,35.71,88,13.38,100
65.85,54.43,68,17.29,82
-6.6,73.51,80,3.09,96
-6.34,80.6,20,4.7,78
4.87,78.19,92,9.24,99
18.9,79.81,0,1.19,32
-10.07,64.42,0,3.31,66
8.69,75.2,75,2.98,94
59.79,53.6,92,16.11,71
60.55,53.06,1,11.41,66
-4.58,63.97,92,0.51,99
33.72,64.4,75,5.82,100
-18.06,55.69,0,4.32,55
38.47,59.0,75,2.53,54
30.4,46.24,0,0.74,45
43.12,55.18,0,5.82,72
25.6,59.29,88,1.97,100
27.91,73.4,20,21.92,83
63.75,33.8,20,16.11,69
